,index,Name,comment,ID,Year,Rank,Average,Users rated,comment_length,Good_bad,sentiment,averageweight,maxplayers,minage,minplayers,minplaytime,owned,playingtime,stddev,trading,wanting,wishing,yearpublished,boardgamedesigner2,boardgamecategory2,boardgamemechanic2,boardgamepublisher2,suggested_language_dependence3,Strategy Game Rank,Family Game Rank,mech1,mech2,mech3,other mech,playingtime_cat
20,20,10 Days in the Americas,128,64956,2010,3023,6.66,514,159.8203125,Bad,0.152354273055285,1.3684,4,10,2,20,753,30,1.15873,15,62,112,2010,Alan R  Moon    Aaron Weissblum,"Educational, Travel","Hand Management, Route/Network Building, Tile Placement","Out of the Box Publishing, Vennerød Forlag AS",No necessary in-game text,,778.0,Hand Management, Route/Network Building, Tile Placement,,1_<= 30
24,24,10' to Kill,170,174476,2015,2845,6.35,990,179.45294117647057,Bad,0.07561948729234322,1.6667,4,12,2,10,1625,15,1.3736,52,20,173,2015,Benoit Bannier,"Animals, Bluffing, Deduction, Murder/Mystery","Action / Movement Programming, Memory, Modular Board, Player Elimination, Secret Unit Deployment","Arclight, Dude Games, La Boîte de Jeu, Rebel, Zacatrus",No necessary in-game text,,838.0,Action / Movement Programming, Memory, Modular Board," Player Elimination, Secret Unit Deployment",1_<= 30
31,31,1000 and One Treasures,14,93997,2010,10959,6.44,40,206.5,Bad,0.043587456194599035,1.2,4,5,2,20,76,20,1.28549,1,3,10,2010,Marco Teubner,"""Childrens Game"", Mythology",Tile Placement,HABA,No necessary in-game text,,1554.0,Tile Placement,,,,1_<= 30
37,37,11 nimmt!,269,63706,2010,2722,6.28,1288,160.66171003717471,Bad,0.14135476100857902,1.2222,7,8,2,30,1916,30,1.26173,32,31,112,2010,Wolfgang Kramer,Card Game,Hand Management,"999 Games, AMIGO, Asmodee, Mercurio",No necessary in-game text,,765.0,Hand Management,,,,1_<= 30
39,39,12 Days,252,130899,2011,2307,6.56,1078,137.4920634920635,Bad,0.132533786083531,1.2222,5,8,3,15,2477,15,1.10343,54,36,224,2011,James Ernest    Mike Selinker,Card Game,"Auction/Bidding, Set Collection, Trick-taking","Calliope Games, Gamesmith, LLC",No necessary in-game text,,625.0,Auction/Bidding, Set Collection, Trick-taking,,1_<= 30
43,43,13 Clues,51,208766,2016,3063,6.84,409,221.29411764705884,Bad,0.05259465607307163,1.8889,6,8,2,30,684,30,1.28799,20,40,213,2016,Andrés J  Voicu,"Deduction, Memory, Murder/Mystery","Action Point Allowance System, Hand Management, Memory","dV Giochi, CMON Limited, Edge Entertainment, Galápagos Jogos, Game Factory, Gigamic, Korea Boardgames co., Ltd., Swan Panasia Co., Ltd.",Some necessary text - easily memorized or small crib sheet,,789.0,Action Point Allowance System, Hand Management, Memory,,1_<= 30
149,149,1911 Amundsen vs Scott,144,124847,2013,2325,6.79,795,151.94444444444446,Bad,0.0716054056782682,1.7429,2,12,2,20,1252,20,1.2098200000000001,27,27,136,2013,Perepau Llistosella,"Card Game, Exploration",Card Drafting,"Kokörîn Kolorado, Looping Games",No necessary in-game text,,640.0,Card Drafting,,,,1_<= 30
175,175,1st & Goal,369,95105,2011,1929,6.58,1430,252.08401084010842,Bad,0.06600268802796327,1.8155,4,13,2,120,2291,150,1.389,169,89,367,2011,Stephen Glenn,"Card Game, Dice, Sports","Dice Rolling, Hand Management, Simultaneous Action Selection",R&R Games,Some necessary text - easily memorized or small crib sheet,,559.0,Dice Rolling, Hand Management, Simultaneous Action Selection,,4_>= 121
185,185,21 Motines,10,84922,2011,8235,6.76,62,68.0,Bad,0.07083333333333333,1.9,5,10,3,45,53,45,1.35894,3,1,10,2011,Perepau Llistosella,"Economic, Industry / Manufacturing, Nautical, Pirates","Hand Management, Variable Phase Order, Worker Placement","(Web published), Asylum Games (Board Games), Kokörîn Kolorado",No necessary in-game text,,1430.0,Hand Management, Variable Phase Order, Worker Placement,,2_31-60
186,186,21 Mutinies: Arrr! Edition,34,102681,2013,5077,6.69,215,236.2647058823529,Bad,0.03802437544163068,2.375,5,10,2,45,289,45,1.515,17,11,53,2013,Perepau Llistosella,"Economic, Pirates","Hand Management, Variable Phase Order, Worker Placement",Asylum Games (Board Games),No necessary in-game text,,1196.0,Hand Management, Variable Phase Order, Worker Placement,,2_31-60
