,Name,comment,ID,Year,Rank,Average,Users rated,comment_length,sentiment,averageweight,maxplayers,minage,minplayers,minplaytime,owned,playingtime,stddev,trading,wanting,wishing,yearpublished,boardgamedesigner2,boardgamepublisher2,suggested_language_dependence3,cat1,cat2,cat3,other cat,mech1,mech2,mech3,other mech
0,7 Wonders,10172,68448,2010,45,7.78,68569,204.65552497050732,0.1180314833336554,2.3397,7,10,2,30,91037,30,1.27559,1162,1029,9464,2010,Antoine Bauza,"Repos Production, ADC Blackfire Entertainment, Asmodee, Asterion Press, Galápagos Jogos, Gém Klub Kft., Hobby Japan, Kaissa Chess & Games, Korea Boardgames co., Ltd., Lautapelit.fi, Lifestyle Boardgames Ltd, NeoTroy Games, Rebel, Siam Board Games",No necessary in-game text,Ancient, Card Game, City Building, Civilization,Card Drafting, Hand Management, Set Collection," Simultaneous Action Selection, Variable Player Powers"
1,Codenames,5902,178900,2015,59,7.72,50564,165.33124364622162,0.12276616281601575,1.3099,8,14,2,15,80742,15,1.28379,752,345,4365,2015,Vlaada Chvátil,"Czech Games Edition, Bergsala Enigma, Boardgame Space, Brain Games, Broadway Toys LTD, Cranio Creations, Cuaca Cerah Games, Devir, DiceTree Games, Fantasmagoria, Feelindigo, GaGa Games, Gém Klub Kft., Golden Egg Games, Heidelberger Spieleverlag, Hobby Japan, IELLO, Kaissa Chess & Games, Land of Beautiful Mind (سرزمین ذهن زیبا), Lex Games, MINDOK, More Fun Co., Ltd., Nordic Games GmbH, One Moment Games, Ponva d.o.o., Pridemage Games, Rebel, TWOPLUS Games, White Goblin Games",Unplayable in another language,Card Game, Deduction, Party Game," Spies/Secret Agents, Word Game",Memory, Partnerships, Press Your Luck,
2,King of Tokyo,7170,70323,2011,257,7.23,48246,156.70753138075312,0.12858950334772595,1.5002,6,8,2,30,69407,30,1.31871,1061,696,5682,2011,Richard Garfield,"IELLO, Bergsala Enigma, Bureau De Juegos, Delta Vision Publishing, Devir, Egmont Polska, Fantasmagoria, GaGa Games, Galápagos Jogos, GeGe Co. Ltd., GoKids 玩樂小子, HaKubia, Heidelberger Spieleverlag, Hobby Japan, Hobby World, HomoLudicus, Kaissa Chess & Games, Korea Boardgames co., Ltd., Lautapelit.fi, Lex Games, Mancalamaro, MESAboardgames, Nordic Games GmbH, Origames, Reflexshop, REXhry, Siam Board Games, Smart Ltd, uplay.it edizioni, Vennerød Forlag AS",Moderate in-game text - needs crib sheet or paste ups,Dice, Fighting, Movies / TV / Radio theme, Science Fiction,Area Control / Area Influence, Card Drafting, Dice Rolling," Player Elimination, Press Your Luck"
3,Love Letter,6753,129622,2012,240,7.26,46666,136.87605508662816,0.13675365341169785,1.1957,4,10,2,20,78731,20,1.3330000000000002,1048,203,2612,2012,Seiji Kanai,"Alderac Entertainment Group, Kanai Factory, 963.com, 999 Games, Arclight, Bard Centrum Gier, Black Monk, BoardM Factory, Brain Games, cutia.ro, Delta Vision Publishing, Devir, Filosofia Éditions, Galápagos Jogos, Hobby World, HomoLudicus, Japon Brand, Kaissa Chess & Games, Lautapelit.fi, Magpie (Korean Co), MINDOK, Pegasus Spiele, Siam Board Games, Steve Jackson Games, Swan Panasia Co., Ltd., uplay.it edizioni, Z-Man Games, Inc.",Some necessary text - easily memorized or small crib sheet,Card Game, Deduction, Renaissance,,Hand Management, Player Elimination,,
4,Splendor,5755,148228,2014,129,7.47,44723,172.07072111207646,0.12201239692305355,1.8142,4,10,2,30,61834,30,1.29256,591,785,6131,2014,Marc André,"Space Cowboys, Asmodee, Asterion Press, Boardgame Space, Broadway Toys LTD, Days of Wonder, Filosofia Éditions, Galápagos Jogos, Gém Klub Kft., GoKids 玩樂小子, Hobby Japan, JD Éditions, Kaissa Chess & Games, Korea Boardgames co., Ltd., Lautapelit.fi, Lex Games, Morapiaf, NeoTroy Games, Rebel, Siam Board Games",No necessary in-game text,Card Game, Economic, Renaissance,,Card Drafting, Set Collection,,
5,7 Wonders Duel,4791,173346,2015,16,8.12,40305,174.8202880400751,0.14533673313559214,2.231,2,10,2,30,63173,30,1.16566,437,917,6052,2015,Antoine Bauza    Bruno Cathala,"Repos Production, ADC Blackfire Entertainment, Asterion Press, Galápagos Jogos, Gém Klub Kft., Kaissa Chess & Games, Lautapelit.fi, Lifestyle Boardgames Ltd, Ludicus, Ponva d.o.o., Pridemage Games, Rebel, Sombreros Production",No necessary in-game text,Ancient, Card Game, City Building, Civilization,Card Drafting, Set Collection,,
6,Scythe,5060,169786,2016,8,8.29,39173,277.2934782608696,0.1410400067418624,3.3708,5,14,1,90,51977,115,1.42913,304,1878,13318,2016,Jamey Stegmaier,"Stonemaier Games, Albi, Angry Lion Games, Arclight, Crowd Games, Delta Vision Publishing, Feuerland Spiele, Fire on Board Jogos, Ghenos Games, Ludofy Creative, Maldito Games, Matagot, Morning, PHALANX, Playfun Games",Moderate in-game text - needs crib sheet or paste ups,Economic, Fighting, Science Fiction, Territory Building,Area Control / Area Influence, Grid Movement, Variable Player Powers,
7,Lords of Waterdeep,5681,110327,2012,51,7.77,38400,213.80654814293254,0.12166772739066142,2.4818,5,12,2,60,47288,120,1.26825,495,1145,7799,2012,Peter Lee    Rodney Thompson,Wizards of the Coast,Moderate in-game text - needs crib sheet or paste ups,City Building, Fantasy,,,Card Drafting, Set Collection, Take That, Worker Placement
8,Terraforming Mars,4897,167791,2016,4,8.4,38331,279.220543189708,0.10492769948842699,3.2397,5,12,1,120,50512,120,1.36045,227,2074,13038,2016,Jacob Fryxelius,"FryxGames, Arclight, Fantasmagoria, Ghenos Games, Intrafin Games, Korea Boardgames co., Ltd., Lautapelit.fi, Lavka Games, Maldito Games, Meeple BR Jogos, MINDOK, MYBG Co., Ltd., Rebel, Reflexshop, Schwerkraft-Verlag, Siam Board Games, Stronghold Games",Moderate in-game text - needs crib sheet or paste ups,Economic, Environmental, Industry / Manufacturing," Science Fiction, Space Exploration, Territory Building",Card Drafting, Hand Management, Set Collection," Take That, Tile Placement, Variable Player Powers"
9,The Castles of Burgundy,5420,84876,2011,13,8.13,36476,228.04501845018453,0.11721388719882694,3.0147,4,12,2,30,51367,90,1.24116,573,1092,7477,2011,Stefan Feld,"alea, Ravensburger Spieleverlag GmbH, Broadway Toys LTD, Giochi Uniti, Grow Jogos e Brinquedos, Hobby World, Maldito Games, Rebel",No necessary in-game text,Dice, Medieval, Territory Building,,Dice Rolling, Set Collection, Tile Placement,
